id,munic,txrural,txerna,txerna2,txerna3,txernaf,txernaf2,txernaf3,txernam,txernam2,txernam3,mediaanosest,txler,txensmed,txtelefone,txenergia,ac,am,rr,pa,to,ma,pi,ce,rn,pb,pe,al,se,ba,mg,es,rj,sp,pr,sc,rs,ms,mt,go,df,nordeste,sudeste,sul,centroeste,Populacao,areaplantada,princultu,areamunic,precclimme,prec2010me,temp2010me,tempclimme,anomaprec,anomatemp,monocul,poplog,arealog
1,1100015,0.4384583533,0.2430769205,0.2358208895,0.0746691898,0.4036697149,0.3893805444,0.1423948258,0.162037015,0.1576576531,0.0945945978,4.9175410271,0.5472589731,0.0756143704,0.354442358,0.5595462918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24392,25251,8027,740583.814698,1828.1953938802,1664.7979939779,26.6666758855,26.3790330887,-163.3973999023,0.2876428068,0.3178884089,10.1020107269,13.5151939392
2,1100023,0.1455232352,0.4098360538,0.4017857015,0.1770259589,0.4819276929,0.4651162922,0.2127659619,0.378590107,0.3737113476,0.3118279576,5.1549634933,0.5712037683,0.0912667215,0.3587726057,0.6011015177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90353,23963,5379,462111.420352,2075.0390625,1678.753679548,27.8035060338,26.8924770355,-396.285369873,0.9110289812,0.2244710624,11.41147995,13.0435609818
3,1100031,0.5645009279,0.2898229957,0.2879121006,0.109257713,0.4523809552,0.4488188922,0.1476683915,0.2269938588,0.2256097496,0.163716808,5.2946209908,0.5796496868,0.1192660555,0.4437030852,0.6638865471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6313,17868,15920,139466.543202,1932.2931853416,1825.443854216,25.0475605672,26.0489942456,-106.8493347168,-1.0014337301,0.8909782767,8.7503662109,11.845580101
4,1100049,0.2092963159,0.2238371968,0.220946908,0.0950030833,0.31640625,0.3139534891,0.1626506001,0.1689814925,0.1662870198,0.125862062,4.8443398476,0.5780382752,0.0512029603,0.4750154316,0.6428130865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78574,27046,3913,400545.73828,1965.1669189453,1849.5089599609,27.3146221161,26.5852745056,-115.6579589844,0.7293475866,0.144679442,11.2717962265,12.9005832672
5,1100056,0.1605861187,0.2605363727,0.2490842491,0.1266294271,0.3444444537,0.3163265288,0.1802325547,0.2163742781,0.2114285678,0.1878172606,5.7486186028,0.5977653861,0.1080074459,0.6238361001,0.6573556662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17029,43851,38100,294020.632112,1882.358215332,1735.2388305664,25.6096086502,26.1700081825,-147.1193847656,-0.5603995323,0.8688513637,9.7426729202,12.5914049149
6,1100064,0.2617872953,0.3940886855,0.3846153915,0.1675392687,0.5,0.4720000029,0.1897106171,0.350694418,0.3470790386,0.2837078571,4.9647240639,0.606282711,0.0764397904,0.5685864091,0.6554973722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18591,10062,4680,154156.254988,1966.9249267578,1840.5590820313,25.2709360123,26.0703964233,-126.3658447266,-0.7994604111,0.4651162922,9.8304328918,11.9457216263
7,1100072,0.7083094716,0.2837301493,0.279296875,0.1156957895,0.3742331266,0.367469877,0.1609498709,0.2404692173,0.2369942218,0.1782608628,4.7845778465,0.5711973906,0.0655339807,0.4546925426,0.6415857673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8783,35426,29010,323564.530312,1876.8719889323,1773.8660481771,25.6725495656,26.1730416616,-103.0059432983,-0.5004920959,0.8188900948,9.080573082,12.6871538162
8,1100080,0.4439478517,0.4147843719,0.4056224823,0.1694630831,0.5958904028,0.572368443,0.2693498433,0.3372433782,0.3323699534,0.2933673561,5.0902576447,0.5251677632,0.0704697967,0.138422817,0.4840604067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13678,1918,500,515978.316022,1641.9070129395,1518.5211486816,27.2139878273,26.5000786781,-123.3858642578,0.7139091492,0.2606882155,9.5235443115,13.1538200378
9,1100098,0.2927536368,0.2250000238,0.2207084447,0.1002475247,0.3134328127,0.3065693378,0.1742738634,0.1725663543,0.1695652157,0.139784947,4.3346304893,0.5457921028,0.0297029708,0.2982673347,0.5841584206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28729,6990,2650,479678.57405,1968.929280599,1942.9368896484,26.8220294317,26.4633083344,-25.9923915863,0.3587211072,0.3791130185,10.2656621933,13.080871582
10,1100106,0.1440719217,0.3125,0.2941176593,0.0590219237,0.4347826242,0.400000006,0.0724637657,0.280898869,0.2659574449,0.1373626441,3.3548386097,0.4266441762,0.0219224282,0.1382799298,0.4182124734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41656,1652,545,2565320.56108,1735.6592007341,1663.9077274717,27.4566943728,26.6221634437,-71.7514724731,0.8345309496,0.3299031556,10.6372003555,14.7575941086
