"CD_GEOCMU","areamunic","precclimme","prec2010me","temp2010me","tempclimme"
1100015,740583.814698,1828.1953938802,1664.7979939779,26.6666758855,26.3790330887
1100023,462111.420352,2075.0390625,1678.753679548,27.8035060338,26.8924770355
1100031,139466.543202,1932.2931853416,1825.443854216,25.0475605672,26.0489942456
1100049,400545.73828,1965.1669189453,1849.5089599609,27.3146221161,26.5852745056
1100056,294020.632112,1882.358215332,1735.2388305664,25.6096086502,26.1700081825
1100064,154156.254988,1966.9249267578,1840.5590820313,25.2709360123,26.0703964233
1100072,323564.530312,1876.8719889323,1773.8660481771,25.6725495656,26.1730416616
1100080,515978.316022,1641.9070129395,1518.5211486816,27.2139878273,26.5000786781
1100098,479678.57405,1968.929280599,1942.9368896484,26.8220294317,26.4633083344
1100106,2565320.56108,1735.6592007341,1663.9077274717,27.4566943728,26.6221634437
1100114,308063.536022,1970.7788085938,1724.7658386231,27.6003313065,26.748087883
1100122,725932.936937,2008.6028645833,1839.4793023004,27.3762789832,26.702062183
1100130,894583.849301,2255.3963623047,2182.6079589844,27.7046920776,27.0693946838
1100148,121174.445473,1899.7354736328,1835.8746948242,27.1631278992,26.5456323624
1100155,206926.028224,1953.2921142578,1695.9385986328,27.4358587265,26.6809940338
1100189,661506.365935,1927.7872721354,1907.6178656684,26.5355996026,26.3615970612
1100205,3526194.09256,2121.841225072,1814.0805085835,27.7898150494,26.945076039
1100254,184850.638697,1932.7221679688,1765.3199462891,27.3073472977,26.6045055389
1100262,179897.441039,2177.123046875,1819.7896728516,27.8190813065,26.9623317719
1100288,153449.020483,1885.3731282552,1737.9243164063,27.2070178986,26.5388736725
1100296,125981.301383,1881.4312987798,1733.7027177818,26.9606771858,26.4531257197
1100304,1227513.02571,1961.8125789867,1904.8107048484,25.8573906842,26.2003551932
1100320,835370.619332,1884.9835449219,1882.4912719727,27.1307254791,26.5321092606
1100338,1039328.72663,1813.550201416,1782.4355875651,27.6235976219,26.7029542923
1100346,316812.431334,1899.5922241211,1872.7114257813,27.1856470108,26.5601396561
1100379,416120.72076,1852.3508911133,1707.2485961914,26.5197920799,26.3294935226
1100403,275519.824412,2154.7882486979,1700.6169026693,27.8203099569,26.9192047119
1100452,338629.880536,2075.8036865234,1778.5468994141,27.7928222656,26.8464859009
1100502,88604.8457335,1876.435777777,1786.9979499003,27.1300065447,26.5205117639
1100601,204663.715133,2033.403503418,1685.6409912109,27.7538614273,26.8221149445
1100700,357129.731242,2066.7111816406,1838.0427246094,27.7628929138,26.7970821381
1100809,712399.867683,2283.340625,1756.8840454102,27.8033477783,27.0221448898
1100908,93927.2057669,1905.0474222778,1795.2492422511,27.2738424499,26.5680984724
1100924,543361.768905,1906.1479085287,1927.4457804362,25.774629275,26.1814177831
1100940,404335.474581,2259.120686849,2034.5695597331,27.7857987086,27.0485636393
1101005,527890.334871,2027.7645019531,1806.3712890625,27.6553524017,26.7375606537
1101104,425833.742358,2239.3766601563,1746.5632324219,27.8128311157,27.0043697357
1101203,84148.222682,1961.2532549339,1786.5367470806,27.3415828428,26.6010064285
1101302,124456.768642,1951.3267822266,1882.2002563477,27.4047384262,26.6310815811
1101401,200795.205298,2105.3071289063,1744.9515991211,27.7859869003,26.8382205963
1101435,84455.4301495,1929.6254272461,1819.4763183594,27.441204071,26.6754140854
1101450,268854.943927,1881.8400573731,1801.4007568359,26.6501245499,26.3738956451
1101468,633793.32471,1849.4867248535,1652.1617126465,26.0445728302,26.2461996078
1101476,64008.3253906,1915.0221348715,1849.8455175503,27.0844798403,26.4828269196
1101484,57237.5575467,1905.9768388495,1825.3440460537,27.0585543827,26.4773562106
1101492,1141755.56708,1760.4145507813,1760.4178355824,26.7534418973,26.423255747
1101500,392901.602134,1811.8676757813,1750.8561139788,27.0617376055,26.5112656185
1101559,48266.8810053,1935.3099983395,1772.650324179,27.3879345428,26.6560337332
1101609,230101.069109,2056.197265625,1831.2873535156,27.6132888794,26.8420944214
1101708,87197.8957983,1910.2807617188,1853.0569458008,27.3304834366,26.6199741364
1101757,329885.756182,2124.8872884115,2033.3276570638,27.6206560135,26.9429057439
1101807,101361.463179,1991.8556518555,1770.4866943359,27.4655475616,26.7279224396
1200013,186867.715682,1961.267865841,1757.2403117244,26.7408830816,26.2931769721
1200054,502479.033666,1770.4413452148,1588.9889526367,26.1831474304,26.3266057968
1200104,396423.796467,1743.1223144531,1621.3504638672,26.0708436966,26.2702007294
1200138,305363.207428,1876.2121276856,1456.7414245606,26.6556930542,26.2427310944
1200179,173638.488765,1824.6037932472,1487.1346249127,26.5085904906,26.211920712
1200203,874602.052509,2145.8370694247,1674.8055419922,26.983031533,26.5690479279
1200252,167010.992396,1717.6306379632,1501.9205509848,26.0227854274,26.2165307628
1200302,2813656.96039,2065.0748901367,1697.4184204102,26.7023899714,26.4801453273
