"Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias"
"Variável - Área colhida (Hectares)"
"Cód.","Município","Ano x Produto das lavouras temporárias"
"Cód.","Município","2010"
"Cód.","Município","Algodão herbáceo (em caroço)","Cana-de-açúcar","Milho (em grão)","Soja (em grão)"
"1100015","Alta Floresta D'Oeste (RO)","-","8","8019","-"
"1100023","Ariquemes (RO)","-","-","4279","1100"
"1100031","Cabixi (RO)","-","-","5000","10920"
"1100049","Cacoal (RO)","-","10","3903","-"
"1100056","Cerejeiras (RO)","-","1000","16600","20500"
"1100064","Colorado do Oeste (RO)","-","-","1680","3000"
"1100072","Corumbiara (RO)","-","10","9000","20000"
"1100080","Costa Marques (RO)","-","-","500","-"
"1100098","Espigão D'Oeste (RO)","-","5","2645","-"
"1100106","Guajará-Mirim (RO)","-","-","545","-"
"1100114","Jaru (RO)","-","-","2350","-"
"1100122","Ji-Paraná (RO)","-","20","1224","-"
"1100130","Machadinho D'Oeste (RO)","-","-","3850","125"
"1100148","Nova Brasilândia D'Oeste (RO)","-","10","1080","-"
"1100155","Ouro Preto do Oeste (RO)","-","-","1200","-"
"1100189","Pimenta Bueno (RO)","-","5","805","-"
"1100205","Porto Velho (RO)","-","73","2337","240"
"1100254","Presidente Médici (RO)","-","17","1732","-"
"1100262","Rio Crespo (RO)","-","-","600","25"
"1100288","Rolim de Moura (RO)","-","50","1200","-"
"1100296","Santa Luzia D'Oeste (RO)","-","2500","2327","-"
"1100304","Vilhena (RO)","-","-","26050","39690"
"1100320","São Miguel do Guaporé (RO)","-","5","960","-"
"1100338","Nova Mamoré (RO)","-","-","1050","-"
"1100346","Alvorada D'Oeste (RO)","-","5","1650","-"
"1100379","Alto Alegre dos Parecis (RO)","-","-","6163","-"
"1100403","Alto Paraíso (RO)","-","-","400","-"
"1100452","Buritis (RO)","-","-","5620","-"
"1100502","Novo Horizonte do Oeste (RO)","-","-","2462","-"
"1100601","Cacaulândia (RO)","-","-","672","-"
"1100700","Campo Novo de Rondônia (RO)","-","-","1947","-"
"1100809","Candeias do Jamari (RO)","-","-","304","-"
"1100908","Castanheiras (RO)","-","-","1275","-"
"1100924","Chupinguaia (RO)","-","-","6215","12408"
"1100940","Cujubim (RO)","-","-","1000","-"
"1101005","Governador Jorge Teixeira (RO)","-","-","1967","-"
"1101104","Itapuã do Oeste (RO)","-","-","175","315"
"1101203","Ministro Andreazza (RO)","-","-","557","-"
"1101302","Mirante da Serra (RO)","-","15","2400","-"
"1101401","Monte Negro (RO)","-","-","520","-"
"1101435","Nova União (RO)","-","-","920","-"
"1101450","Parecis (RO)","-","-","1600","-"
"1101468","Pimenteiras do Oeste (RO)","-","50","1200","14000"
"1101476","Primavera de Rondônia (RO)","-","8","736","-"
"1101484","São Felipe D'Oeste (RO)","-","-","3500","-"
"1101492","São Francisco do Guaporé (RO)","-","12","6088","-"
"1101500","Seringueiras (RO)","-","10","1269","-"
"1101559","Teixeirópolis (RO)","-","-","1064","-"
"1101609","Theobroma (RO)","-","-","2312","-"
"1101708","Urupá (RO)","-","6","2547","-"
"1101757","Vale do Anari (RO)","-","-","2100","-"
"1101807","Vale do Paraíso (RO)","-","5","2200","-"
"1200013","Acrelândia (AC)","-","50","2140","-"
"1200054","Assis Brasil (AC)","-","18","450","-"
