"Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes"
"Variável - Área plantada ou destinada à colheita (Hectares)"
"Cód.","Município","Ano x Produto das lavouras temporárias e permanentes"
"Cód.","Município","2010"
"Cód.","Município","Total"
"1100015","Alta Floresta D'Oeste (RO)","25251"
"1100023","Ariquemes (RO)","23963"
"1100031","Cabixi (RO)","17868"
"1100049","Cacoal (RO)","27046"
"1100056","Cerejeiras (RO)","43851"
"1100064","Colorado do Oeste (RO)","10062"
"1100072","Corumbiara (RO)","35426"
"1100080","Costa Marques (RO)","1918"
"1100098","Espigão D'Oeste (RO)","6990"
"1100106","Guajará-Mirim (RO)","1652"
"1100114","Jaru (RO)","12300"
"1100122","Ji-Paraná (RO)","6157"
"1100130","Machadinho D'Oeste (RO)","20696"
"1100148","Nova Brasilândia D'Oeste (RO)","10404"
"1100155","Ouro Preto do Oeste (RO)","10407"
"1100189","Pimenta Bueno (RO)","2903"
"1100205","Porto Velho (RO)","14385"
"1100254","Presidente Médici (RO)","9853"
"1100262","Rio Crespo (RO)","4487"
"1100288","Rolim de Moura (RO)","8511"
"1100296","Santa Luzia D'Oeste (RO)","9890"
"1100304","Vilhena (RO)","73435"
"1100320","São Miguel do Guaporé (RO)","17791"
"1100338","Nova Mamoré (RO)","4120"
"1100346","Alvorada D'Oeste (RO)","7756"
"1100379","Alto Alegre dos Parecis (RO)","20816"
"1100403","Alto Paraíso (RO)","11124"
"1100452","Buritis (RO)","21004"
"1100502","Novo Horizonte do Oeste (RO)","12547"
"1100601","Cacaulândia (RO)","6021"
"1100700","Campo Novo de Rondônia (RO)","7876"
"1100809","Candeias do Jamari (RO)","2183"
"1100908","Castanheiras (RO)","4388"
"1100924","Chupinguaia (RO)","23619"
"1100940","Cujubim (RO)","5980"
"1101005","Governador Jorge Teixeira (RO)","7318"
"1101104","Itapuã do Oeste (RO)","1347"
"1101203","Ministro Andreazza (RO)","7022"
"1101302","Mirante da Serra (RO)","10428"
"1101401","Monte Negro (RO)","4178"
"1101435","Nova União (RO)","4225"
"1101450","Parecis (RO)","3363"
"1101468","Pimenteiras do Oeste (RO)","19455"
"1101476","Primavera de Rondônia (RO)","2711"
"1101484","São Felipe D'Oeste (RO)","9613"
"1101492","São Francisco do Guaporé (RO)","11556"
"1101500","Seringueiras (RO)","7848"
"1101559","Teixeirópolis (RO)","2840"
"1101609","Theobroma (RO)","9363"
"1101708","Urupá (RO)","8198"
"1101757","Vale do Anari (RO)","11564"
"1101807","Vale do Paraíso (RO)","8357"
"1200013","Acrelândia (AC)","7740"
"1200054","Assis Brasil (AC)","1604"
"1200104","Brasiléia (AC)","4599"
"1200138","Bujari (AC)","5269"
"1200179","Capixaba (AC)","8181"
"1200203","Cruzeiro do Sul (AC)","15306"
"1200252","Epitaciolândia (AC)","4181"
"1200302","Feijó (AC)","7789"
"1200328","Jordão (AC)","1653"
"1200336","Mâncio Lima (AC)","2921"
"1200344","Manoel Urbano (AC)","3278"
"1200351","Marechal Thaumaturgo (AC)","3961"
"1200385","Plácido de Castro (AC)","6045"
"1200393","Porto Walter (AC)","2190"
"1200401","Rio Branco (AC)","5425"
"1200427","Rodrigues Alves (AC)","10837"
"1200435","Santa Rosa do Purus (AC)","774"
"1200450","Senador Guiomard (AC)","5086"
"1200500","Sena Madureira (AC)","13380"
"1200609","Tarauacá (AC)","8898"
"1200708","Xapuri (AC)","3821"
"1200807","Porto Acre (AC)","5892"
"1300029","Alvarães (AM)","375"
"1300060","Amaturá (AM)","278"
"1300086","Anamã (AM)","712"
"1300102","Anori (AM)","827"
"1300144","Apuí (AM)","5718"
"1300201","Atalaia do Norte (AM)","586"
"1300300","Autazes (AM)","4649"
"1300409","Barcelos (AM)","246"
"1300508","Barreirinha (AM)","944"
"1300607","Benjamin Constant (AM)","1458"
"1300631","Beruri (AM)","1420"
"1300680","Boa Vista do Ramos (AM)","917"
"1300706","Boca do Acre (AM)","3230"
"1300805","Borba (AM)","4516"
"1300839","Caapiranga (AM)","1068"
"1300904","Canutama (AM)","602"
"1301001","Carauari (AM)","1518"
"1301100","Careiro (AM)","1739"
"1301159","Careiro da Várzea (AM)","1501"
"1301209","Coari (AM)","4142"
"1301308","Codajás (AM)","3153"
"1301407","Eirunepé (AM)","1892"
"1301506","Envira (AM)","2946"
"1301605","Fonte Boa (AM)","1107"
"1301654","Guajará (AM)","678"
"1301704","Humaitá (AM)","3209"
"1301803","Ipixuna (AM)","1578"
